number;name;address;latitude;longitude;idstation;ville
95.0;#00095-MAIRIE DE BERTRANGE;MAIRIE DE BERTRANGE-2 Beim Schlass/ Rue de Leudelange;49.61093;6.051527;90;luxembourg
10.0;#00010-MÄRELER PARC;MÄRELER PARC - RUE DU 10 SEPTEMBRE ( DEVANT N° 108 );49.608146;6.111627;91;luxembourg
146.0;#00146-STADE DE LUXEMBOURG;Route d'Esch;49.57681;6.110465;92;luxembourg
39.0;#00039-KRAIZGRENNCHEN;KRAIZGRENNCHEN - SQUARE DE NEW- YORK;49.613316;6.117582;93;luxembourg
117.0;#00117-SYRDALL SCHWEMM;SYRDALL SCHWEMM - ROUTSCHEED N°8;49.65314;6.245365;94;luxembourg
142.0;#00142-BERELER SCHOUL;Route de Luxembourg 98;49.653525;6.127049;95;luxembourg
34.0;#00034-KOLLEISCH;- KOLLEISCH - RUE DE BRAGANCE;49.604577;6.111927;96;luxembourg
63.0;#00063-LABOURS;LABOURS - RUE DES LABOURS / BLD J.F.KENNEDY;49.6301;6.16843;97;luxembourg
76.0;#00076-SAUVAGE;SAUVAGE - RUE JEAN-PIERRE SAUVAGE;49.62521;6.13938;98;luxembourg
41.0;#00041-PLACE LAURENT;PLACE LAURENT - PLACE AUGUSTE LAURENT;49.620066;6.122905;99;luxembourg
28.0;#00028-CHARLY'S GARE;CHARLY'S GARE - BOULEVARD PRINCE HENRI;49.61258;6.12391;100;luxembourg
2.0;#00002-GARE CENTRALE 2;GARE CENTRALE 2 - PLACE DE LA GARE N°3-5;49.601051;6.133744;101;luxembourg
139.0;#00139-HUESCHTERT;Rue de la Gare 9 x Place Charly 1;49.657941;6.231683;102;luxembourg
99.0;#00099-CAMPUS CENTS;CAMPUS CENTS - RUE LÉON KAUFFMAN/RUE ROBERT BRUCH;49.617566;6.165165;103;luxembourg
83.0;#00083-PULVERMÜHL;Rue de Pulvermûhl/Rue du Fort Dumoulin;49.608758;6.149591;104;luxembourg
51.0;#00051-SAUERWISS;SAUERWISS - RUE ABBE FRANCOIS LASCOMBE ( DEVANT N° 54 );49.594088;6.125123;105;luxembourg
90.0;#00090-HUBERTY (MÜHLENBACH);Rue de Mühlenbach/Rue Jean-Pierre Huberty;49.6294701613971;6.11780413988129;106;luxembourg
20.0;#00020-COQUE;COQUE - AVENUE JF KENNEDY / RUE ERASME;49.62297;6.15497;107;luxembourg
98.0;#00098-CITY CONCORDE;CITY CONCORDE - Route de Longwy face n° 80 (City Concorde);49.600592;6.065794;108;luxembourg
65009.0;BORNE ATELIER LUX;DEPOT CYCLO - Rue des Romains 209 à 8041 Bertrange;49.6168333870108;6.05420384349982;109;luxembourg
58.0;#00058-SCHLUECHTHAUS;SCHLUECHTHAUS - RUE DE L'ABATTOIR;49.60136;6.11581;110;luxembourg
71.0;#00071-LES THERMES;LES THERMES - RUE DU CIMETIERE;49.61489;6.07275;111;luxembourg
87.0;#00087-NATIONALBIBLIOTHEIK;NATIONALBIBLIOTHEIK - Bd. KONRAD ADENAUER (Immeuble Bibliothèque Nationale);49.629865;6.166252;112;luxembourg
67.0;#00067-MAIRIE DE HESPERANGE;MAIRIE DE HESPERANGE - ROUTE DE THIONVILLE 474;49.571924;6.15965;113;luxembourg
79.0;#00079-GARE CENTRALE;GARE CENTRALE - PLACE DE LA GARE (Quai n°1);49.6017;6.1331;114;luxembourg
96.0;#00096-BERTRANGE - GARE;Rue de l'industrie/Rue Chemin de Fer/ Rue de Strassen;49.613161;6.060382;115;luxembourg
133.0;#00133-HALANZY;En face de Rue François-Sébastien Tinant 156;49.645359;6.128075;116;luxembourg
26.0;#00026-HOLLERECHER PLAZ;HOLLERECHER PLAZ - PLACE SAINT PIERRE ET PAUL / RUE BAUDOUIN;49.598613;6.117957;117;luxembourg
54.0;#00054-CLOCHE D'OR;CLOCHE D'OR - RUE JEAN PIRET ( DEVANT N° 3 );49.583377;6.115817;118;luxembourg
81.0;#00081-CARMEL;Allée du Carmel/Rue Paul Albrecht face Police;49.62019;6.172682;119;luxembourg
116.0;#00116-CHARLY'S STATION;CHARLY'S STATION - RUE DE GRÜNEWALD / CHÂTEAU D'EAU À 2633 SENNINGERBERG;49.649823;6.225796;120;luxembourg
70.0;#00070-GEMENG STROOSSEN;GEMENG STROOSSEN - Rue des Romains;49.61909;6.07227;121;luxembourg
9.0;#00009-CONVICT;CONVICT - PLACE DU FOYER;49.6059;6.1199;122;luxembourg
43.0;#00043-LYCEE TECHNIQUE DE BONNEVOIE;LYCEE TECHNIQUE DE BONNEVOIE - RUE DU CIMETIERE ( DEVANT N° 110 );49.5911;6.1416;123;luxembourg
111.0;#00111-HALL SPORTIF NICOLAS FRANTZ;HALL SPORTIF NICOLAS FRANTZ - RUE DE BERTRANGE / HALL SPORTIF NICOLAS FRANTZ;49.623154;6.024879;124;luxembourg
59.0;#00059-ST HUBERT;ST HUBERT - RUE DE MERL 147 / RUE ST HUBERT;49.60289;6.09322;125;luxembourg
69.0;#00069-UM REIMERWEE;UM REIMERWEE - RUE DU KIEM;49.61769;6.08276;126;luxembourg
74.0;#00074-SAINTE CUNEGONDE;SAINTE CUNEGONDE - PLACE STE CUNEGONDE;49.6146;6.14283;127;luxembourg
18.0;#00018-CAMPUS LAMPERTSBIERG;CAMPUS LAMPERTSBIERG - RUE DE LA FAIENCERIE ( DEVANT N° 151 );49.6219;6.1118;128;luxembourg
136.0;#00136-NENNIG;Rue Nennig;49.633322;6.136676;129;luxembourg
3.0;#00003-STROOSSBUERGER PLAZ;17 Rue du Commerce ,Face 19;49.600415;6.129234;130;luxembourg
107.0;#00107-LEUDELANGE GARE;GARE - RUE DE LA GARE N°166;49.586736;6.05966;131;luxembourg
60.0;#00060-BOCH;BOCH - RUE J-F BOCH;49.61925;6.10842;132;luxembourg
138.0;#00138-A SCHOMMESCH;Rue d'Ernster 18;49.659778;6.241714;133;luxembourg
66.0;#00066-BEIM TENNIS;Rue des Scillas 55 / Banque de Luxembourg;49.579231;6.134018;134;luxembourg
128.0;#00128-GARE MAMER;Rue de la Gare 2;49.625695;6.020409;135;luxembourg
40.0;#00040-GLACIS KAPELL;GLACIS KAPELL - BOULEVARD DE LA FOIRE ( DEVANT N° 21 );49.6147;6.1211;136;luxembourg
32.0;#00032-PISCINE OLYMPIQUE;PISCINE OLYMPIQUE - RUE LEON HENGEN;49.623901;6.150013;137;luxembourg
110.0;#00110-ROND-POINT GAASSCHTBIERG;Route d'Arlon x Rue de la Libération;49.627159;6.031948;138;luxembourg
145.0;#00145-PÔLE D'ÉCHANGE HOWALD;Bd Friedrich Wilhelm Raiffeisen;49.580898;6.131494;139;luxembourg
93.0;#00093-GODCHAUX (BONNEVOIE);Rue Auguste Charles/Rue Godchaux;49.601652;6.145533;140;luxembourg
21.0;#00021-JEAN MONNET;JEAN MONNET - BOULEVARD KONRAD ADENAUER / RUE ERASME;49.625714;6.148347;141;luxembourg
42.0;#00042-SQUARE ANDRE;SQUARE ANDRE - SQUARE EDOUARD ANDRE ( DEVANT N° 1 );49.6238;6.1188;142;luxembourg
100.0;#00100-FORT NIEDERGRÜNEWALD;FORT NIEDERGRÜNEWALD - RUE DU FORT NIEDERGRÜNEWALD/KENNEDY;49.619439;6.140894;143;luxembourg
64.0;#00064-GRENIER;GRENIER - RUE EDOUARD GRENIER;49.59383;6.14327;144;luxembourg
46.0;#00046-LONKECHER STROOSS;LONKECHER STROOSS - ROUTE DE LONGWY ( DEVANT N° 241 );49.60563;6.10003;145;luxembourg
61.0;#00061-FRIEDEN;49 Bd Pierre Frieden, 1860 Kirchberg;49.636754;6.16333;146;luxembourg
140.0;#00140-LAACH;Route de Trèves 177 x Rue Laach;49.651348;6.255547;147;luxembourg
42.0;SMITHFIELD NORTH;Smithfield North;53.349562;-6.278198;148;dublin
30.0;PARNELL SQUARE NORTH;Parnell Square North;53.3537415547453;-6.26530144781526;149;dublin
54.0;CLONMEL STREET;Clonmel Street;53.336021;-6.26298;150;dublin
108.0;AVONDALE ROAD;Avondale Road;53.359405;-6.276142;151;dublin
20.0;JAMES STREET EAST;James Street East;53.336485;-6.248174;152;dublin
56.0;MOUNT STREET LOWER;Mount Street Lower;53.3379853;-6.2415388;153;dublin
6.0;CHRISTCHURCH PLACE;Christchurch Place;53.343368;-6.27012;154;dublin
18.0;GRANTHAM STREET;Grantham Street;53.3341256;-6.2656674;155;dublin
32.0;PEARSE STREET;Pearse Street;53.344304;-6.250427;156;dublin
52.0;YORK STREET EAST;York Street East;53.338755;-6.262003;157;dublin
48.0;EXCISE WALK;Excise Walk;53.347777;-6.244239;158;dublin
13.0;FITZWILLIAM SQUARE WEST;Fitzwilliam Square West;53.336074;-6.252825;159;dublin
43.0;PORTOBELLO ROAD;Portobello Road;53.330091;-6.268044;160;dublin
31.0;PARNELL STREET;Parnell Street;53.350929;-6.265125;161;dublin
98.0;FREDERICK STREET SOUTH;Frederick Street South;53.341515;-6.256853;162;dublin
14.0;FOWNES STREET UPPER;Fownes Street Upper;53.344603;-6.263371;163;dublin
1.0;CLARENDON ROW;Clarendon Row;53.340927;-6.262501;164;dublin
23.0;CUSTOM HOUSE;Custom House;53.3482821;-6.2543578;165;dublin
106.0;RATHDOWN ROAD;Rathdown Road;53.35893;-6.280337;166;dublin
112.0;NORTH CIRCULAR ROAD (O'CONNELL'S);North Circular Road (O'Connell's);53.357841;-6.251557;167;dublin
68.0;HANOVER QUAY;Hanover Quay;53.344115;-6.237153;168;dublin
74.0;OLIVER BOND STREET;Oliver Bond Street;53.343893;-6.280531;169;dublin
87.0;COLLINS BARRACKS MUSEUM;Collins Barracks Museum;53.347477;-6.28525;170;dublin
84.0;BROOKFIELD ROAD;Brookfield Road;53.339005;-6.300217;171;dublin
90.0;BENSON STREET;Benson Street;53.344153;-6.233451;172;dublin
